nodes,clustering,weighted_clus,closeness,information,weighted_info,betweenness,weighted_bet,harmonic,snd_order
IQ107911769,0.0,0.0,0.5,0.032786885245901634,3.051116224132735,0.0,0.0,8.333333333333332,54.334800575573325
IQ47943635,0.0,0.0,0.5,0.03278688524590164,1.583899473778578,0.0,0.0,8.333333333333332,125.89281745613214
IQ430545926,0.0,0.0,0.5,0.03278688524590164,2.2035106941370355,0.0,0.0,8.333333333333332,91.14640218490372
IQ303091960,0.0,0.0,0.5,0.03278688524590164,1.6090309904191606,0.0,0.0,8.333333333333332,124.21800602163643
IQ138295262,0.0,0.0,0.5,0.03278688524590164,1.258933756329438,0.0,0.0,8.333333333333332,150.9031266267737
IQ306068881,0.0,0.0,0.5,0.03278688524590164,1.937957286916078,0.0,0.0,8.333333333333332,104.638661700775
IQ331332833,0.0,0.0,0.5,0.03278688524590164,1.1683312102218302,0.0,0.0,8.333333333333332,159.3373446338028
IQ315586807,0.0,0.0,0.5,0.03278688524590164,2.8201438627409874,0.0,0.0,8.333333333333332,63.97284485646357
IQ82559337,0.0,0.0,0.5333333333333333,0.039603960396039604,2.6930899965295656,0.058333333333333334,0.0,9.0,69.30472547072026
IQ137639502,0.0,0.0,0.5,0.03278688524590164,2.570316155498552,0.0,0.0,8.333333333333332,74.54240539380369
IQ326962970,0.0,0.0,0.5,0.03278688524590164,1.623489365715188,0.0,0.0,8.333333333333332,123.26799920964969
IQ82558004,0.0,0.0,0.5333333333333333,0.03960396039603961,2.6221437334261046,0.058333333333333334,0.11666666666666667,9.0,72.31815112733882
IQ28221771,0.0,0.0,0.37209302325581395,0.03508771929824562,2.4294358175059756,0.004166666666666667,0.004166666666666667,6.833333333333332,80.71513749256917
IQ3103498,0.0,0.0,0.5,0.03278688524590164,1.8961536002364787,0.0,0.0,8.333333333333332,106.92285016952152
IQ7797659,0.0,0.0,0.9411764705882353,0.06451612903225808,3.7133761077314102,0.9791666666666666,0.9791666666666666,15.5,21.663211968504736
IQ331639899,0.0,0.0,0.5,0.03278688524590164,1.7128330360448696,0.0,0.0,8.333333333333332,117.6018420944617
IQ543938051,0.0,0.0,0.5,0.03278688524590164,2.184990301736332,0.0,0.0,8.333333333333332,92.03840818783932
IQ278403811,0.0,0.0,0.5294117647058824,0.058823529411764705,1.5223993622470346,0.0,0.0,5.0,52.21428146130026
IQ275396629,0.0,0.0,0.5294117647058824,0.058823529411764705,1.5223993622470346,0.0,0.0,5.0,52.21428146130026
IQ225449828,0.0,0.0,0.5294117647058824,0.058823529411764705,1.5223993622470349,0.0,0.0,5.0,52.21428146130026
IQ542391788,0.0,0.0,0.5294117647058824,0.058823529411764705,1.930797831279439,0.0,0.0,5.0,41.83256545929441
IQ33146702,0.0,0.0,0.5294117647058824,0.058823529411764705,2.3641074449278565,0.0,0.0,5.0,32.906937496756704
IQ12168658,0.0,0.0,0.5294117647058824,0.058823529411764705,2.3641074449278565,0.0,0.0,5.0,32.906937496756704
IQ65075092,0.0,0.0,1.0,0.1111111111111111,3.514340788976836,1.0,1.0,9.0,10.486349837104969
IQ272758478,0.0,0.0,0.5294117647058824,0.058823529411764705,2.3641074449278565,0.0,0.0,5.0,32.90693749675671
IQ281091713,0.0,0.0,0.5294117647058824,0.058823529411764705,1.5223993622470344,0.0,0.0,5.0,52.21428146130026
IQ285647978,0.0,0.0,0.5294117647058824,0.058823529411764705,2.3641074449278565,0.0,0.0,5.0,32.90693749675671
IQ107600537,0.0,0.0,1.0,1.0,3825.7100000000005,0.0,0.0,1.0,0.0
IQ540842123,0.0,0.0,1.0,1.0,3825.7100000000005,0.0,0.0,1.0,0.0
IQ277468646,0.0,0.0,0.6,0.2,6.723244850809093,0.0,0.0,2.0,14.075191934269485
IQ111228893,0.0,0.0,1.0,0.3333333333333333,13.83970640548487,1.0,1.0,3.0,5.305083899036595
IQ537783079,0.0,0.0,0.6,0.2,12.2782346586169,0.0,0.0,2.0,6.968856300333381
IQ277451574,0.0,0.0,0.6,0.2,7.62795686354831,0.0,0.0,2.0,12.605835189021361
IQ602996337,0.0,0.0,1.0,1.0,278.81,0.0,0.0,1.0,0.0
IQ5393511,0.0,0.0,1.0,1.0,278.81,0.0,0.0,1.0,0.0
IQ39347275,0.0,0.0,0.13388253422627866,0.00012276602689573633,0.013974721790149336,0.014661550924164728,0.0017703029041201595,349.7030543373013,41582.30605351208
IQ4239149,0.0,0.0,0.11996176517444639,8.77887884583328e-05,0.008618370233294969,0.0,0.0,299.9801183293806,149296.6190264512
IQ286006886,0.0,0.0,0.13505918928614133,8.848539742451493e-05,0.005885986645050845,0.0,0.0,352.62896670323,217235.16509042511
IQ47367728,0.0,0.0,0.1211260053619303,8.617071389686088e-05,0.006654179999373317,0.0,0.0,308.22769636194374,195252.7106768889
IQ2117908,0.0,0.0,0.1561161022805805,0.00011055465571945535,0.012477892583780435,0.0,0.0,436.1021417308194,75481.89124336057
IQ951773,0.0,0.0,0.15613768316284213,0.00011057910578939597,0.007102940901607693,0.0008853474988933156,0.0008853474988933156,436.7688083974861,183668.5675898687
IQ117096014,0.0,0.0,0.11919586323343183,7.392458349468419e-05,0.007161956984200445,0.0,0.0,301.7126752719227,182202.6726812607
IQ36706995,0.0,0.0,0.07553920749038623,4.6273056824871776e-05,0.00914411664321737,0.0,0.0,183.29588477984547,138583.18105446984
IQ774953,0.0,0.0,0.11149499037559844,9.555335305496803e-05,0.008049899580713024,0.0,0.0,279.189402152714,161485.58696558425
IQ676934,0.0,0.0,0.13509149623250807,8.851672717564632e-05,0.005800575032726524,0.0,0.0,353.12896670323,219880.98564429765
IQ139399,0.0,0.0,0.09283688817655036,6.641958273378147e-05,0.009764152393311484,0.0,0.0,232.8713159690331,126470.58934380491
IQ29364,0.0,0.0,0.07284277054043596,4.7345942267683064e-05,0.004591563415030639,0.00353864533990796,0.00353864533990796,175.5966204936693,263312.8152500844
IQ216241705,0.0,0.0,0.10626587637595258,9.21454038319661e-05,0.009902550806219277,0.0008853474988933156,0.0008853474988933156,265.9193271683584,123826.81873895599
IQ1925747,0.0,0.0,0.10893571876356271,8.31452460164963e-05,0.006307521590638903,0.0035366848715756008,0.0035366848715756008,271.10274640649936,204797.46219353337
IQ874685,0.0,0.0,0.09702357943563973,6.671626775118513e-05,0.00836265310047786,0.0,0.0,237.43345140411643,154692.51023235434
IQ307583710,0.0,0.0,0.10642608122114389,6.328593316201469e-05,0.006137742581681508,0.0,0.0,262.1031920049317,209688.9048660987
IQ792955,0.0,0.0,0.09755149630781189,6.604824278913427e-05,0.011735838352728373,0.0017703029041201595,0.0017703029041201595,241.43253663261393,89667.07796934717
IQ29557,0.0,0.0,0.08088656545402463,5.7844708284996704e-05,0.008163514641360819,0.0,0.0,193.7384301111542,158991.55597317556
IQ27814516,0.0,0.0,0.13512381863859313,8.854807912029202e-05,0.009569906349027156,0.0,0.0,353.62896670323005,130214.62294188896
IQ83481397,0.0,0.0,0.09230957829355999,6.659720982148603e-05,0.006942455830640817,0.0,0.0,227.06730012894158,187719.78613139823
IQ41269602,0.0,0.0,0.05312918930360545,3.2048429817350543e-05,0.003152780598182114,0.0,0.0,128.04910067171826,339532.2675753712
IQ305662095,0.0,0.0,0.11904510961214165,7.379365952161175e-05,0.004392351708075068,0.0,0.0,299.77934193858954,271845.8833825887
IQ1716658,0.0,0.0,0.11969480209823558,8.289104383841356e-05,0.0051794588557977726,0.0026536899346811162,0.0026536899346811162,297.80868975795204,240635.0558523618
