nodes,clustering,weighted_clus,closeness,information,weighted_info,betweenness,weighted_bet,harmonic,snd_order
IQ83200590,0.0,0.0,1.0,1.0,267.13,0.0,0.0,1.0,0.0
IQ301404085,0.0,0.0,1.0,1.0,267.13,0.0,0.0,1.0,0.0
IQ39347275,0.0,0.0,0.10228254164096237,0.0001200241876919119,0.014497030281636705,0.006482787137654125,0.0012062726176115804,195.04233366392805,46734.919587530094
IQ4239149,0.0,0.0,0.11356164383561644,0.00010323679839435468,0.008983581785637712,0.0,0.0,213.76382930794574,122057.33652373863
IQ2117908,0.0,0.0,0.1474957743972956,0.00013511563624956228,0.013997253849860636,0.0,0.0,308.34348984348964,54072.350866665176
IQ951773,0.0,0.0,0.1475220215321648,0.00013515215858935889,0.008625954773522973,0.0012062726176115804,0.0012062726176115804,309.0101565101564,127608.65618806522
IQ36706995,0.0,0.0,0.07347011122435415,5.893099446502946e-05,0.010627625099075303,0.0,0.0,132.83429179422734,98623.4093728476
IQ774953,0.0,0.0,0.10790055967720942,0.00011619621544538203,0.009589388376303371,0.0,0.0,197.8820454871922,113075.56137650296
IQ676934,0.0,0.0,0.12860688799255351,0.00011047199486392352,0.007188795395677945,0.0,0.0,250.70268946739478,152460.48686567816
IQ29364,0.0,0.0,0.07060126043263498,6.0829480257367596e-05,0.00580147333996461,0.00481999456922527,0.00481999456922527,127.13579926097644,182302.45778297633
IQ874685,0.0,0.0,0.09347164280076671,8.2372328089594e-05,0.009836335546300028,0.0,0.0,169.9891019025693,109543.73769513822
IQ792955,0.0,0.0,0.09349272583737453,8.425783219159599e-05,0.013308952674494967,0.002411817249334439,0.002411817249334439,173.70833716507107,63509.35308754036
IQ29557,0.0,0.0,0.06984581683376864,6.768406114775653e-05,0.009438309617842554,0.0,0.0,123.75419562725207,115270.92248211722
IQ27814516,0.0,0.0,0.12862684251357642,0.0001104964083812418,0.011197468073858446,0.0,0.0,250.95268946739478,91041.2167035292
IQ83481397,0.0,0.0,0.07922779184785206,7.892549043940164e-05,0.008362476512608985,0.0,0.0,145.9182142247159,131836.69363133324
IQ1716658,0.0,0.0,0.11340629274965801,0.00010302408086902591,0.006376340398011693,0.0036144499375024117,0.0036144499375024117,212.39716264127912,169018.2425416063
IQ18733,0.0,0.0,0.1399038055860265,0.00016072313194651002,0.014886880971355501,0.09857945690465383,0.28579634012374305,274.11347174067515,40517.34733362333
IQ108941,0.0,0.0,0.09528188035170393,9.512634986582783e-05,0.003328570831114029,0.0,0.0,173.00467213385232,267754.9927880979
IQ25534,0.0,0.0,0.05808169270650879,4.58569469029352e-05,0.006920383400698893,0.0,0.0,102.29170474292921,157684.83869569816
IQ35673079,0.0,0.0,0.1226875832470031,0.00012220501325076573,0.008046310433343716,0.0,0.0,232.676380645497,137084.058658134
IQ116541,0.0,0.0,0.08990835637980586,7.830056914220014e-05,0.010837131302862792,0.0,0.0,161.2594332009583,95813.78017982801
IQ129616,0.0,0.0,0.10959085200608104,0.00010571607616140032,0.010993646826556498,0.007224531959672494,0.007224531959672494,206.56180420886233,93732.31826859238
IQ32892996,0.0,0.0,0.1474957743972956,0.00013511563624956255,0.00897051135518405,0.0,0.0,308.34348984348964,122256.7051202637
IQ5432299,0.0,0.0,0.08337523886151062,8.002540007151713e-05,0.010182601008486204,0.0,0.0,151.75347557499296,104697.59877264746
IQ327481,0.0,0.0,0.12884675163195525,0.00011076567097516512,0.01477493838515275,0.003616633895168576,0.003616633895168576,254.36935613406143,42361.53067193924
IQ280490,0.0,0.0,0.061969725284993456,4.5781463759607906e-05,0.0032706668550883953,0.0012062726176115804,0.0012062726176115804,113.0671623338604,270721.3922012732
IQ127572680,0.0,0.0,0.11897244546498278,0.00011373649567748587,0.013065917669940875,0.0,0.0,226.60119888281554,66732.03926790284
IQ59073146,0.0,0.0,0.08549476615273552,7.031101197839111e-05,0.002887914652584766,0.0,0.0,152.91485553060673,292334.99472544604
IQ699359,0.0,0.0,0.09911525585844094,9.682706203178865e-05,0.0074451651655817784,0.0,0.0,182.28751229850337,147667.4368005803
IQ263384242,0.0,0.0,0.11373302236246399,0.00011737360813914827,0.009950063839976733,0.0,0.0,212.03754521622085,107939.13962391615
IQ142672715,0.0,0.0,0.11331328594860579,0.0001028968706028081,0.009109391237253971,0.0,0.0,210.93049597461246,120151.14268714612
IQ24554,0.0,0.0,0.0837923889422348,9.607958149455026e-05,0.010331546792861213,0.015261572436346555,0.045941733465438506,165.28852014092482,102646.93925600125
IQ117807,0.0,0.0,0.11805753346624893,0.00010057491036332851,0.013189262786887986,0.0,0.0,222.85852529823026,65101.55183646705
IQ809542,0.0,0.0,0.10392378087000126,8.3821839967381e-05,0.008391967450829476,0.0,0.0,196.23212423970872,131357.18534319833
IQ4817199,0.0,0.0,0.0821972138218234,8.523800545671413e-05,0.009099297561355349,0.0,0.0,152.8735840396124,120303.23296881787
IQ274108170,0.0,0.0,0.1474957743972956,0.00013511563624956255,0.010734032604896719,0.0,0.0,308.34348984348964,97192.84832224522
IQ226607367,0.0,0.0,0.12856699751861042,0.00011042320017911136,0.015126611130913424,0.0,0.0,250.20268946739475,36358.53606555471
IQ326028,0.0,0.0,0.12206434513730398,0.00010402341661065794,0.0061252653341948606,0.0,0.0,228.29546074840096,174636.05730405095
IQ9638648,0.0,0.0,0.13900067069081154,0.00012565623804676915,0.012984777007756243,0.0,0.0,270.8264832389817,67799.67103215819
IQ828596,0.0,0.0,0.11373302236246399,0.00011737360813914831,0.015217718712016232,0.0,0.0,212.03754521622085,34685.45104784354
IQ24655991,0.0,0.0,0.11408518544003303,9.351853070887017e-05,0.008087281559121447,0.0,0.0,214.50658834629365,136392.64136979083
IQ716912,0.0,0.0,0.10188656056043753,8.803228745454656e-05,0.0048721535226366255,0.002411817249334439,0.002411817249334439,186.98425951843078,207624.82622854382
IQ1059011,0.0,0.0,0.07072473659514568,6.664953359272752e-05,0.008178870186248197,0.0,0.0,129.41599372188216,134859.59831068647
IQ22239281,0.0,0.0,0.07601320374105996,7.477834241543912e-05,0.00719403174055101,0.002411817249334439,0.002411817249334439,140.30085253370828,152360.7314253024
IQ7958351,0.0,0.0,0.10208730989471092,8.828097790009117e-05,0.011415018311444907,0.0,0.0,188.56997380414495,88189.324435019
IQ319512522,0.0,0.0,0.11356164383561644,0.00010323679839435482,0.007778671530605005,0.0,0.0,213.76382930794574,141690.60806766708
IQ970554,0.0,0.0,0.09488925771189836,8.316750500712295e-05,0.0055171831162293405,0.0,0.0,176.49060553739383,189477.14029389215
IQ6562238,0.0,0.0,0.1475745438362261,0.00013522526253386847,0.01493836405563055,0.003616633895168576,0.003616633895168576,310.3434898434897,39650.10244544841
IQ308415852,0.0,0.0,0.07344407530454042,5.887537301914171e-05,0.005400755716118468,0.0,0.0,129.9944948453532,192548.79528609812
IQ556909,0.0,0.0,0.09402291028694568,8.308408637023133e-05,0.013430869850006964,0.017960867846537665,0.017960867846537665,176.96608602955342,61875.725609646855
IQ91092,0.0,0.0,0.11707385962434684,0.00013211035842352375,0.015206282499259921,0.006881234614148269,0.002462048275656225,222.24898377765916,34898.74621400934
IQ10346631,0.0,0.0,0.11487563223169127,9.440135834177462e-05,0.013564177322628067,0.0,0.0,222.19468358438886,60073.707610568665
IQ99081791,0.0,0.0,0.075999266593326,7.47559819017901e-05,0.007190427827451701,0.0,0.0,138.967519200375,152429.37950174112
IQ19455,0.0,0.0,0.08606280820140151,7.312598008356258e-05,0.006420430780863418,0.0036144499375024117,0.0036144499375024117,156.434719430037,168058.70677245272
IQ130911294,0.0,0.0,0.10076577124103561,9.893387629461801e-05,0.012839981145570008,0.0,0.0,184.20136618627333,69696.58835054857
IQ1221480,0.0,0.0,0.06223490109230134,4.8252525162670164e-05,0.002189629179283853,0.015583993919861858,0.015583993919861858,113.57777421009389,344417.2311568917
IQ5448616,0.0,0.0,0.09392703376387945,8.296001853801251e-05,0.013712371338732937,0.0,0.0,175.6081495216171,58047.99913484096
IQ30010,0.0,0.0,0.08623290164872315,7.332974785143742e-05,0.008425970741949295,0.0,0.0,157.4482114935291,130806.31803491914
IQ1529792,0.0,0.0,0.10370926377681866,9.618130970209893e-05,0.01329993941248987,0.0,0.0,194.76323620909525,63629.63261828533
IQ22512232,0.0,0.0,0.09083438338903194,9.205532618420282e-05,0.013089743664255651,0.0012062726176115804,0.0012062726176115804,167.77373016560333,66417.82836485197
IQ144100772,0.0,0.0,0.10476431189182359,9.636764433273095e-05,0.004994594351918215,0.0,0.0,200.90535597872994,203953.40090471087
IQ20373998,0.0,0.0,0.08338362502514585,8.003821025111001e-05,0.009854538049432697,0.0012062726176115804,0.0012062726176115804,152.42014224165962,109286.02421484576
IQ47551211,0.0,0.0,0.09399092970521541,8.298734256829771e-05,0.00926932840917985,0.0,0.0,171.44213673753168,117760.14722557318
IQ6509098,0.0,0.0,0.07347011122435415,5.893099446502952e-05,0.0069414069253497974,0.0,0.0,132.83429179422734,157267.52271636386
IQ20271,0.0,0.0,0.09962744862396347,0.0001270261344735039,0.010374058750307467,0.0024079031433872885,0.03743521835572739,186.18205564645186,102065.05611302961
IQ360762,0.0,0.0,0.09434391715033573,8.344438117975777e-05,0.010645508156092644,0.0,0.0,176.6623748327698,98382.45100740223
