nodes,clustering,weighted_clus,closeness,information,weighted_info,betweenness,weighted_bet,harmonic,snd_order
IQ6513880,0.0,0.0,0.45454545454545453,0.030303030303030304,1.727585661998356,0.0,0.0,7.333333333333333,321.2607980345669
IQ26782,0.0,0.0,0.7894736842105263,0.05263157894736843,4.889713797647571,0.9047619047619049,0.9047619047619049,13.0,56.89517362317903
IQ4524729,0.0,0.0,0.45454545454545453,0.030303030303030304,2.011700333286777,0.0,0.0,7.333333333333333,285.2641884794591
IQ1543251,0.0,0.0,0.45454545454545453,0.030303030303030304,1.73354879155138,0.0,0.0,7.333333333333333,320.4321104030576
IQ4276844,0.0,0.0,0.45454545454545453,0.030303030303030304,3.272784548850177,0.0,0.0,7.333333333333333,173.84265481695076
IQ23958345,0.0,0.0,0.45454545454545453,0.030303030303030304,2.4954658348962666,0.0,0.0,7.333333333333333,235.88079510464908
IQ4220684,0.0,0.0,0.38461538461538464,0.02564102564102564,3.4227635533889047,0.0,0.0,6.333333333333333,163.23484057841495
IQ3200630,0.0,0.0,0.45454545454545453,0.030303030303030304,3.3820965608279208,0.0,0.0,7.333333333333333,166.08377456790316
IQ6867660,0.0,0.0,0.38461538461538464,0.02564102564102564,3.1806029021971725,0.0,0.0,6.333333333333333,180.516761274568
IQ117918984,0.0,0.0,0.45454545454545453,0.030303030303030304,2.1432318562710884,0.0,0.0,7.333333333333333,270.607274519219
IQ6562655,0.0,0.0,0.45454545454545453,0.030303030303030304,2.6482567502082492,0.0,0.0,7.333333333333333,222.40773201120135
IQ399147,0.0,0.0,0.6,0.04,4.862606045149068,0.4761904761904762,0.4761904761904762,10.0,59.51085609238421
IQ5926741,0.0,0.0,0.45454545454545453,0.030303030303030304,2.7377444186539917,0.0,0.0,7.333333333333333,214.86944083401806
IQ33548,0.0,0.0,0.38461538461538464,0.02564102564102564,4.7449493235650175,0.0,0.0,6.333333333333333,70.02436575065292
IQ892572,0.0,0.0,0.45454545454545453,0.030303030303030304,1.8753752810197573,0.0,0.0,7.333333333333333,301.705189830286
IQ1051214,0.0,0.0,0.38461538461538464,0.02564102564102564,1.98875216583491,0.0,0.0,6.333333333333333,287.93668241046504
IQ729103,0.0,0.0,1.0,1.0,302.2,0.0,0.0,1.0,0.0
IQ4158219,0.0,0.0,1.0,1.0,302.2,0.0,0.0,1.0,0.0
IQ30236,0.0,0.0,0.20408163265306123,0.006833712984054671,0.6927551102404719,0.12873563218390804,0.12873563218390804,8.009523809523811,1039.5210038920086
IQ11737122,0.0,0.0,0.32608695652173914,0.01094890510948905,1.8959090541698222,0.0,0.0,11.57619047619048,411.3925218365015
IQ1041031,0.0,0.0,0.30303030303030304,0.010169491525423733,1.9942342617416096,0.0,0.0,10.88452380952381,378.64412718972585
IQ807324,0.0,0.0,0.1477832512315271,0.004942339373970345,0.6101536709325573,0.0,0.0,5.665873015873016,1129.168333943168
IQ34058111,0.0,0.0,0.32608695652173914,0.010948905109489057,2.1488634795534316,0.0,0.0,11.576190476190478,327.83102312520657
IQ3198944,0.0,0.0,0.32608695652173914,0.010948905109489053,2.3784650787945303,0.0,0.0,11.576190476190478,250.56058456333864
IQ260494,0.0,0.0,0.38461538461538464,0.01293103448275863,2.5406778149268856,0.3954022988505747,0.3954022988505747,14.100000000000001,189.93384548480526
IQ382553,0.015151515151515152,0.0028386041186381624,0.47619047619047616,0.016042780748663114,2.561515146017822,0.7816091954022988,0.7816091954022988,19.283333333333335,181.35457784570806
IQ8174837,0.0,0.0,0.32608695652173914,0.010948905109489057,2.0691295341953158,0.0,0.0,11.576190476190478,353.9970583185918
