node,indegree,outdegree,katz,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,closeness,directed_betweenness,undirected_betweenness,undirected_Weighted_betweenness,harmonic,undirected_harmonic
IQ26273,0.0,0.0009705596894208995,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-4.656923163464319e-17,0.0,0.0,7.851154258379707e-07,7.851154258379707e-07,1.0,3.5
IQ253123342,0.00016175994823681658,0.0,0.012949120338547443,3.289309308481124e-09,0.0,0.0,0.0,0.0,-7.832668572785994e-15,0.00016175994823681658,0.0,0.0,0.0,1.5,1.5
IQ2482047,0.00016175994823681658,0.00016175994823681658,0.012949120338547443,7.440622437686777e-09,0.0,0.0,0.0,0.0,-1.6073966890975836e-15,0.00016175994823681658,2.6170514194599024e-08,1.936618050400328e-06,1.936618050400328e-06,0.0,1.0
IQ882826,0.00016175994823681658,0.0,0.01306683961435242,2.020650334558485e-07,0.0,0.0,0.0,0.0,4.518478047797669e-12,0.0002156799309824221,0.0,0.0,0.0,3.0,183.65202272208379
IQ143627394,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-5.118081240250625e-17,0.0,0.0,0.0,0.0,0.0,1.0
IQ244510755,0.00016175994823681658,0.0,0.012949120338547443,6.624054601573563e-09,0.0,0.0,0.0,0.0,-2.0818147907893054e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,140.70766052384394
IQ145824389,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-9.593654711687473e-18,0.0,0.0,0.0,0.0,2.0,102.63481839376878
IQ249903573,0.00016175994823681658,0.0,0.012949120338547443,3.357143313675482e-09,0.0,0.0,0.0,0.0,-1.644858695475093e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,10.033333333333328
IQ49276069,0.0,0.0006470397929472663,0.011771927580497674,6.399434452297911e-10,0.0,0.0,0.0,0.0,-4.3099479731933054e-17,0.0,0.0,1.8842770220111298e-06,1.8842770220111298e-06,1.0,1.0
IQ312235,0.00032351989647363315,0.0,0.014126313096597207,6.568187538805003e-08,0.0,0.0,0.0,0.0,-4.970734372945282e-14,0.00032351989647363315,0.0,2.093641135567922e-06,2.093641135567922e-06,1.0,2.5
IQ878525,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,5.085775519424951e-17,0.0,0.0,0.0,0.0,1.5,124.96446189651878
IQ252932479,0.00016175994823681658,0.0,0.012949120338547443,1.5687573616363086e-08,0.0,0.0,0.0,0.0,4.597844299331304e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,147.1018614919579
IQ1801243,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-1.0889402784300393e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ145992058,0.00016175994823681658,0.0,0.012949120338547443,4.670307263287012e-09,0.0,0.0,0.0,0.0,-2.8280074781892254e-15,0.00016175994823681658,0.0,0.0,0.0,0.0,1.0
IQ1371007,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-1.0753156167478328e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ39361202,0.00016175994823681658,0.0,0.012949120338547443,5.848443145955058e-09,0.0,0.0,0.0,0.0,-3.601325560544581e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,1.5
IQ266877629,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,3.211822328809638e-17,0.0,0.0,0.0,0.0,1.0,2.0
IQ6489182,0.00032351989647363315,0.0,0.014126313096597207,2.0505067872052956e-08,0.0,0.0,0.0,0.0,3.633568533080872e-14,0.00032351989647363315,0.0,5.234102838919805e-08,5.234102838919805e-08,2.0,7.0
IQ12679188,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,4.348324578656359e-17,0.0,0.0,0.0,0.0,0.0,1.0
IQ252347556,0.00016175994823681658,0.0,0.012949120338547443,6.433351454895087e-09,0.0,0.0,0.0,0.0,1.704586787304079e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,2.6666666666666665
IQ94614,0.0,0.002426399223552249,0.011771927580497674,6.399434452297909e-10,0.0,0.0,0.0,0.0,1.8793332925862483e-17,0.0,0.0,8.583928655828479e-06,8.583928655828479e-06,1.0,2.0
IQ375114,0.00016175994823681658,0.0,0.012949120338547443,5.8708411665381015e-09,0.0,0.0,0.0,0.0,6.3861201686843146e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,6.233333333333333
IQ23585971,0.0004852798447104497,0.0004852798447104497,0.014126313096597207,4.478964173163298e-09,0.0,0.0,0.0,0.0,-8.715512594259017e-15,0.00032351989647363315,1.5702308516759413e-07,0.005782026257383803,0.00021025391103940855,1.0,2.5
IQ4779192,0.0012940795858945326,0.0,0.021424908196505766,8.527184128390859e-07,0.0,0.0,0.0,0.0,1.615318409725709e-10,0.001347999568640138,0.0,0.016613174446770934,0.01566860089447677,0.0,1.0
IQ240996410,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-2.5058527327929648e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ29846313,0.00016175994823681658,0.0,0.012949120338547443,7.751634952068455e-09,0.0,0.0,0.0,0.0,-1.1459608774508172e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,1.0
IQ21305,0.0,0.0009705596894208995,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-8.90075353165104e-18,0.0,0.0,0.0008366713388013308,0.0008366713388013308,0.0,4.5
IQ124307,0.0008087997411840829,0.0004852798447104497,0.016480698612696743,8.496257146351711e-08,0.0,0.0,0.0,0.0,-1.2070769321701167e-13,0.0006470397929472663,3.1404617033518826e-07,0.0004898073436661153,0.0004898073436661153,1.0,3.8333333333333335
IQ410412,0.0,0.00032351989647363315,0.011771927580497674,6.399434452297916e-10,0.0,0.0,0.0,0.0,3.2682222080672835e-18,0.0,0.0,7.013697804152538e-05,7.013697804152538e-05,0.0,5.0166666666666675
IQ23347,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297904e-10,0.0,0.0,0.0,0.0,-1.8715566980994016e-17,0.0,0.0,0.0,0.0,1.0,9.666666666666668
IQ36706995,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-4.789810282782268e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ5606896,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-4.4412139557712087e-17,0.0,0.0,0.0,0.0,1.0,2.583333333333333
IQ253057337,0.00016175994823681658,0.0,0.012949120338547443,3.183078696572979e-09,0.0,0.0,0.0,0.0,-8.306883130755753e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,1.5
IQ248868202,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-3.928059325194089e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ260207754,0.00016175994823681658,0.0,0.012949120338547443,2.555934120247784e-09,0.0,0.0,0.0,0.0,-5.239861227177107e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,1.0
IQ23108699,0.0,0.00032351989647363315,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,1.7557073872618067e-17,0.0,0.0,5.234102838919805e-08,5.234102838919805e-08,1.5,16.0
IQ878375,0.00016175994823681658,0.0,0.012949120338547443,4.878032905608602e-08,0.0,0.0,0.0,0.0,5.665678622518029e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,1.5
IQ2398528,0.00016175994823681658,0.00032351989647363315,0.012949120338547443,3.7274145910854395e-08,0.0,0.0,0.0,0.0,6.906061616304981e-14,0.00016175994823681658,5.234102838919805e-08,0.00014022161505466158,0.00014022161505466158,1.0,126.92843960785902
IQ34075129,0.00016175994823681658,0.0,0.01306683961435242,1.5767592016765936e-07,0.0,0.0,0.0,0.0,-3.1363003162239655e-11,0.0002156799309824221,0.0,0.0,0.0,0.0,4.0
IQ28071,0.0,0.0008087997411840829,0.011771927580497674,6.399434452297906e-10,0.0,0.0,0.0,0.0,-1.0822831734589433e-17,0.0,0.0,0.0007679475685263138,0.0007679475685263138,0.0,6.0
IQ32938,0.00016175994823681658,0.00032351989647363315,0.012949120338547443,8.507856121296498e-08,0.0,0.0,0.0,0.0,-5.722423672613088e-14,0.00016175994823681658,5.234102838919805e-08,0.00021020157001101937,0.00021020157001101937,1.0,1.5
IQ1318975,0.00016175994823681658,0.00016175994823681658,0.012949120338547443,5.791488179329603e-09,0.0,0.0,0.0,0.0,1.787292662650365e-15,0.00016175994823681658,2.6170514194599024e-08,4.187282271135844e-07,4.187282271135844e-07,1.0,150.02560306443246
IQ259749731,0.00016175994823681658,0.0,0.01306683961435242,7.65084385944476e-08,0.0,0.0,0.0,0.0,-2.503163233650199e-12,0.0002156799309824221,0.0,0.0,0.0,1.0,1.0
IQ31232183,0.0,0.002426399223552249,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-3.1025204706682185e-17,0.0,0.0,5.443466952476597e-06,5.443466952476597e-06,1.0,1.0
IQ470828,0.00016175994823681658,0.00016175994823681658,0.012949120338547443,4.574059769124452e-08,0.0,0.0,0.0,0.0,-9.553040141546344e-14,0.00016175994823681658,2.6170514194599024e-08,7.327743974487726e-07,7.327743974487726e-07,1.0,1.0
IQ226607367,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-2.4648889726229505e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ4667093,0.00032351989647363315,0.0,0.014126313096597207,1.890482529291134e-07,0.0,0.0,0.0,0.0,-3.3341105622414964e-13,0.00032351989647363315,0.0,7.013697804152538e-05,7.013697804152538e-05,0.0,1.0
IQ254059327,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-4.2757817417322677e-17,0.0,0.0,0.0,0.0,1.0,8.616666666666669
IQ51824709,0.00016175994823681658,0.0,0.012949120338547443,3.600961766308033e-09,0.0,0.0,0.0,0.0,-9.058777147183205e-15,0.00016175994823681658,0.0,0.0,0.0,2.0,167.2430800720645
IQ13627017,0.0,0.00032351989647363315,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,3.369194507329419e-17,0.0,0.0,1.5702308516759413e-07,1.5702308516759413e-07,0.0,1.0
IQ876873,0.00016175994823681658,0.00032351989647363315,0.012949120338547443,1.0804805129259786e-08,0.0,0.0,0.0,0.0,2.327960382817297e-14,0.00016175994823681658,5.234102838919805e-08,2.6170514194599025e-07,2.6170514194599025e-07,1.0,4.833333333333333
IQ47100672,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,-5.2922755254660406e-17,0.0,0.0,0.0,0.0,1.0,1.5
IQ133744958,0.00032351989647363315,0.0,0.014126313096597207,3.5124575878327525e-08,0.0,0.0,0.0,0.0,-1.0998224095266525e-13,0.00032351989647363315,0.0,5.234102838919805e-08,5.234102838919805e-08,0.0,1.0
IQ185333,0.0,0.0004852798447104497,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,9.587759967188234e-18,0.0,0.0,1.5702308516759413e-07,1.5702308516759413e-07,2.0,126.92592856194844
IQ253306776,0.00016175994823681658,0.0,0.012949120338547443,9.277260125496275e-09,0.0,0.0,0.0,0.0,5.998750201133209e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,88.43437228610611
IQ253191945,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,1.5752345428486595e-17,0.0,0.0,0.0,0.0,1.5,2.5
IQ13706761,0.00016175994823681658,0.0,0.012949120338547443,4.2252905914742155e-08,0.0,0.0,0.0,0.0,4.217138546537143e-14,0.00016175994823681658,0.0,0.0,0.0,0.0,1.0
IQ5636139,0.00016175994823681658,0.00016175994823681658,0.012949120338547443,6.463428796820887e-09,0.0,0.0,0.0,0.0,-1.4609197243860874e-14,0.00016175994823681658,2.6170514194599024e-08,3.663871987243863e-07,3.663871987243863e-07,1.0,4.333333333333333
IQ736446,0.00016175994823681658,0.0,0.01306683961435242,7.129814705207572e-08,0.0,0.0,0.0,0.0,1.710448163322955e-11,0.0002156799309824221,0.0,0.0,0.0,0.0,1.0
IQ106674904,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,3.2178705083531765e-17,0.0,0.0,0.0,0.0,1.5,13.500000000000002
IQ54341931,0.00016175994823681658,0.0,0.012949120338547443,6.051945161538129e-09,0.0,0.0,0.0,0.0,1.2140555667267487e-14,0.00016175994823681658,0.0,0.0,0.0,0.0,2.0
IQ11367675,0.00032351989647363315,0.00032351989647363315,0.012949120338547443,7.905221378923603e-09,0.0,0.0,0.0,0.0,1.691808543697964e-14,0.00016175994823681658,5.234102838919805e-08,1.5702308516759413e-07,1.5702308516759413e-07,0.0,10.166666666666668
IQ47935899,0.00016175994823681658,0.0,0.01306683961435242,3.766009516272902e-08,0.0,0.0,0.0,0.0,-8.460433563191932e-12,0.0002156799309824221,0.0,0.0,0.0,0.0,116.9527569976678
IQ311760,0.0,0.002264639275315432,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,1.3967239980880535e-17,0.0,0.0,7.4847670596553205e-06,7.4847670596553205e-06,0.0,179.07402616303526
IQ249875047,0.00016175994823681658,0.0,0.012949120338547443,4.581995067845302e-09,0.0,0.0,0.0,0.0,3.463119180956739e-15,0.00016175994823681658,0.0,0.0,0.0,1.0,3.5
-,0.0,0.01714655451310256,0.011771927580497674,6.399434452297905e-10,0.0,0.0,0.0,0.0,-3.504879985092003e-17,0.0,0.0,0.02184672659390222,0.0316882007253315,1.0,231.20674155136166
IQ1432337,0.00016175994823681658,0.00032351989647363315,0.012949120338547443,6.416968902697201e-08,0.0,0.0,0.0,0.0,-1.4584940750155387e-13,0.00016175994823681658,5.234102838919805e-08,0.00014022161505466158,0.00014022161505466158,0.0,1.5
IQ248271342,0.0,0.00032351989647363315,0.011771927580497674,6.399434452297905e-10,0.0,0.0,0.0,0.0,5.443540029578371e-17,0.0,0.0,0.0,0.0,1.0,145.41411175795685
IQ2237079,0.00032351989647363315,0.0,0.012949120338547443,1.1071661545920605e-08,0.0,0.0,0.0,0.0,4.974015555921153e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,16.833333333333336
IQ254417538,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297905e-10,0.0,0.0,0.0,0.0,2.808421549369395e-17,0.0,0.0,0.0,0.0,0.0,1.0
IQ875980,0.00016175994823681658,0.00032351989647363315,0.012949120338547443,3.1999540052236876e-07,0.0,0.0,0.0,0.0,6.266067870145419e-13,0.00016175994823681658,5.234102838919805e-08,1.5702308516759413e-07,1.5702308516759413e-07,0.0,1.0
IQ253070774,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,1.1850994258553266e-17,0.0,0.0,0.0,0.0,1.0,6.0
IQ59322382,0.00016175994823681658,0.0,0.012949120338547443,6.982422930902247e-09,0.0,0.0,0.0,0.0,5.252359442210193e-15,0.00016175994823681658,0.0,0.0,0.0,2.0,2.0
IQ383605,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,3.6379974601163855e-17,0.0,0.0,0.0,0.0,3.0,11.750000000000002
IQ253175079,0.00016175994823681658,0.0,0.012949120338547443,2.0322556001473415e-07,0.0,0.0,0.0,0.0,4.732293809700514e-13,0.00016175994823681658,0.0,0.0,0.0,0.0,1.0
IQ31212154,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297909e-10,0.0,0.0,0.0,0.0,-4.136358244494583e-17,0.0,0.0,0.0,0.0,1.0,230.540074884695
IQ879672,0.0004852798447104497,0.0,0.015303505854646977,1.9906080807317867e-08,0.0,0.0,0.0,0.0,-3.1955073485886727e-14,0.00048527984471044967,0.0,0.00014022161505466158,0.00014022161505466158,1.5,2.5
IQ41950128,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-5.5758287892954746e-18,0.0,0.0,0.0,0.0,0.0,1.0
IQ250525285,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,-5.772456641713216e-18,0.0,0.0,0.0,0.0,1.0,1.0
IQ36318,0.00016175994823681658,0.0004852798447104497,0.012949120338547443,1.8347498546460715e-07,0.0,0.0,0.0,0.0,-6.741598232809925e-14,0.00016175994823681658,7.851154258379707e-08,3.1404617033518826e-07,3.1404617033518826e-07,1.0,94.51706418849128
IQ687518,0.0,0.00032351989647363315,0.011771927580497674,6.399434452297905e-10,0.0,0.0,0.0,0.0,-1.808353966768124e-17,0.0,0.0,5.234102838919805e-08,5.234102838919805e-08,0.0,1.0
IQ721511,0.00016175994823681658,0.0,0.012949120338547443,1.356808092576202e-08,0.0,0.0,0.0,0.0,-1.6569837392158953e-14,0.00016175994823681658,0.0,0.0,0.0,0.0,135.53849639001638
IQ93625,0.0,0.0006470397929472663,0.011771927580497674,6.399434452297907e-10,0.0,0.0,0.0,0.0,1.4518995277771316e-17,0.0,0.0,0.0004893362744106126,0.0004893362744106126,0.0,1.0
IQ9769654,0.00032351989647363315,0.0,0.014244032372402186,1.7940767847938894e-06,0.0,0.0,0.0,0.0,-1.6831031840591844e-10,0.00036395988353283724,0.0,0.000558164726742408,0.000558164726742408,1.5,2.833333333333333
IQ27716528,0.0,0.00016175994823681658,0.011771927580497674,6.399434452297908e-10,0.0,0.0,0.0,0.0,2.5460560193296242e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ534455,0.00032351989647363315,0.0,0.014126313096597207,2.5344960148325862e-08,0.0,0.0,0.0,0.0,4.044360012739077e-14,0.00032351989647363315,0.0,1.5702308516759413e-07,1.5702308516759413e-07,1.0,4.5
IQ734865,0.00016175994823681658,0.0004852798447104497,0.012949120338547443,4.991558872792367e-09,0.0,0.0,0.0,0.0,-6.8003820433527976e-15,0.00016175994823681658,7.851154258379707e-08,3.1404617033518826e-07,3.1404617033518826e-07,0.0,1.0
IQ250282209,0.00016175994823681658,0.0,0.01306683961435242,6.242353934231804e-07,0.0,0.0,0.0,0.0,9.21741157393945e-11,0.0002156799309824221,0.0,0.0,0.0,0.0,1.0
IQ6656026,0.00016175994823681658,0.0,0.012949120338547443,9.945361082316179e-09,0.0,0.0,0.0,0.0,-2.7376070441369276e-14,0.00016175994823681658,0.0,0.0,0.0,1.0,1.0
