node,indegree,outdegree,katz,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,closeness,directed_betweenness,undirected_betweenness,undirected_Weighted_betweenness,harmonic,undirected_harmonic
IQ4107517,0.0,0.0007876082961407193,0.008643633701184388,1.554461726908825e-11,0.0,0.0,0.0,0.0,6.598427280949187e-20,0.0,0.0,5.51449883522296e-07,5.51449883522296e-07,1.0,9.733333333333329
IQ712339962,8.751203290452437e-05,0.0,0.009507997071302827,9.317443591091496e-11,0.0,0.0,0.0,0.0,-2.790866394838342e-17,8.751203290452437e-05,0.0,0.0,0.0,1.0,4.0
IQ320747404,0.0,8.751203290452437e-05,0.008643633701184388,1.554461726908825e-11,0.0,0.0,0.0,0.0,2.0491448130725878e-18,0.0,0.0,0.0,0.0,1.5,1.5
IQ642662700,8.751203290452437e-05,0.0,0.009507997071302827,1.1829453741776159e-10,0.0,0.0,0.0,0.0,1.8565328567145185e-16,8.751203290452437e-05,0.0,0.0,0.0,0.0,1.0
IQ36478,8.751203290452437e-05,0.0027128730200402557,0.009507997071302827,1.1774778659455591e-07,0.0,0.0,0.0,0.0,-1.5635027188382789e-13,8.751203290452437e-05,4.365644911218177e-07,0.002660641303306924,0.002548066095128689,3.0,455.0688684681345
IQ204875363,8.751203290452437e-05,0.0,0.009594433408314671,5.61976415541564e-06,0.0,0.0,0.0,0.0,-5.1564438248447584e-11,0.00011668271053936582,0.0,0.0,0.0,0.0,301.83040653876344
IQ877190,0.0,8.751203290452437e-05,0.008643633701184388,1.554461726908825e-11,0.0,0.0,0.0,0.0,1.4926670342328348e-19,0.0,0.0,0.0,0.0,3.0,632.0360421441321
IQ47730521,8.751203290452437e-05,0.0,0.009507997071302827,1.4751841788364749e-10,0.0,0.0,0.0,0.0,9.31021592361407e-18,8.751203290452437e-05,0.0,0.0,0.0,1.0,4.5
IQ97023,0.0,0.0020127767568040604,0.008643633701184388,1.5544617269088253e-11,0.0,0.0,0.0,0.0,-9.564097323230088e-19,0.0,0.0,0.001872680299397045,0.0011440900097332437,2.0,330.6812069036894
IQ210331060,8.751203290452437e-05,0.0,0.009507997071302827,2.8220832947363455e-08,0.0,0.0,0.0,0.0,-2.2276685758202572e-14,8.751203290452437e-05,0.0,0.0,0.0,1.0,1.0
IQ5476859,0.0,8.751203290452437e-05,0.008643633701184388,1.5544617269088246e-11,0.0,0.0,0.0,0.0,3.5305077013692785e-18,0.0,0.0,0.0,0.0,1.0,16.245238095238086
