node,indegree,outdegree,katz,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,closeness,directed_betweenness,undirected_betweenness,undirected_Weighted_betweenness,harmonic,undirected_harmonic
IQ31348,0.0,0.004347826086956522,0.0177160206422585,6.049681587306369e-08,0.0,0.0,0.0,0.0,2.2933709839290034e-16,0.0,0.0,1.733457301794916e-05,1.733457301794916e-05,2.0,2.0
IQ9649234,0.00036231884057971015,0.0,0.01948762270648435,5.46165253702019e-07,0.0,0.0,0.0,0.0,1.0048322458766799e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,1.0
IQ4165606,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-3.4863402779458066e-17,0.0,0.0,0.0,0.0,0.0,1.0
IQ4247471,0.00036231884057971015,0.0,0.01948762270648435,2.1500568361286833e-07,0.0,0.0,0.0,0.0,4.9634236616137913e-17,0.00036231884057971015,0.0,0.0,0.0,1.5,2.1666666666666665
IQ104673,0.0,0.002536231884057971,0.0177160206422585,6.049681587306367e-08,0.0,0.0,0.0,0.0,-3.8738521635437645e-16,0.0,0.0,0.0003994831145500102,0.0003994831145500102,1.0,1.5
IQ303230,0.00036231884057971015,0.0,0.01948762270648435,1.1329299205364504e-05,0.0,0.0,0.0,0.0,-5.4958553533741094e-14,0.00036231884057971015,0.0,0.0,0.0,0.0,3.1666666666666665
IQ34728947,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306367e-08,0.0,0.0,0.0,0.0,1.4400735899663833e-16,0.0,0.0,0.0,0.0,0.0,1.0
IQ34727908,0.002173913043478261,0.0,0.0283456330276136,7.078127457148438e-07,0.0,0.0,0.0,0.0,2.1886003927743864e-15,0.002173913043478261,0.0,3.939675685897537e-06,3.939675685897537e-06,0.0,10.0
IQ29485223,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,3.141659900181578e-16,0.0,0.0,0.0,0.0,2.0,5.5
IQ34729079,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,6.303774625094231e-16,0.0,0.0,0.0,0.0,0.0,1.0
IQ34729105,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-3.258973592125817e-16,0.0,0.0,0.0,0.0,1.0,1.0
IQ5548012,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,2.0015130749713525e-16,0.0,0.0,0.0,0.0,1.0,29.430425130425146
IQ34728794,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,2.441141414116125e-16,0.0,0.0,0.0,0.0,1.0,1.0
-,0.0,0.014855072463768116,0.0177160206422585,6.049681587306378e-08,0.0,0.0,0.0,0.0,-1.2960346168577497e-16,0.0,0.0,0.00468585026080653,0.00468585026080653,0.0,2.0
IQ32895591,0.00036231884057971015,0.0,0.01948762270648435,1.7873179281537965e-06,0.0,0.0,0.0,0.0,-2.8644255068077745e-15,0.00036231884057971015,0.0,0.0,0.0,1.5,1.5
IQ3784996,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-1.996702957085754e-16,0.0,0.0,0.0,0.0,1.0,1.0
IQ888016,0.00036231884057971015,0.0,0.01948762270648435,1.240608203108917e-06,0.0,0.0,0.0,0.0,-3.3885648563243455e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,1.5
IQ139673,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-6.321019740139546e-16,0.0,0.0,0.0,0.0,0.0,1.0
IQ687131,0.00036231884057971015,0.0,0.01948762270648435,6.660699427624312e-05,0.0,0.0,0.0,0.0,-5.225369711867266e-13,0.00036231884057971015,0.0,0.0,0.0,1.0,5.0
IQ24809,0.0,0.0032608695652173916,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,6.200850222488274e-17,0.0,0.0,1.1556382011966108e-05,1.1556382011966108e-05,1.0,1.5
IQ7099782,0.00036231884057971015,0.0,0.01948762270648435,8.680083141467176e-07,0.0,0.0,0.0,0.0,9.204100022900205e-16,0.00036231884057971015,0.0,0.0,0.0,0.0,1.0
IQ875515,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,2.0770636986230318e-16,0.0,0.0,0.0,0.0,0.0,1.0
IQ2143874,0.0007246376811594203,0.0,0.021259224770710197,2.9848947461322004e-05,0.0,0.0,0.0,0.0,9.714602000903461e-14,0.0007246376811594203,0.0,2.6264504572650245e-07,2.6264504572650245e-07,1.5,32.30357697857694
IQ434566,0.0007246376811594203,0.0010869565217391304,0.01948762270648435,9.927799720441182e-05,0.0,0.0,0.0,0.0,-8.192940067606272e-13,0.00036231884057971015,3.9396756858975367e-07,2.363805411538522e-06,2.363805411538522e-06,1.0,2.5
IQ33407153,0.00036231884057971015,0.0,0.019664782912906936,0.0008194018077438837,0.0,0.0,0.0,0.0,2.8097697467763382e-06,0.0004830917874396135,0.0,0.0,0.0,1.0,1.0
IQ96944,0.0,0.0010869565217391304,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-3.1362206869165144e-16,0.0,0.0,5.2529009145300485e-06,5.2529009145300485e-06,1.0,2.0
IQ4278095,0.00036231884057971015,0.0,0.01948762270648435,1.228145859039066e-06,0.0,0.0,0.0,0.0,-4.653280589974592e-15,0.00036231884057971015,0.0,0.0,0.0,2.0,33.842668442668476
IQ8193316,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-3.966751341362794e-16,0.0,0.0,0.0,0.0,1.0,2.0
IQ9587865,0.00036231884057971015,0.0,0.01948762270648435,4.3158428443843636e-07,0.0,0.0,0.0,0.0,-1.94425283075433e-15,0.00036231884057971015,0.0,0.0,0.0,0.0,1.0
IQ26782,0.0,0.0032608695652173916,0.0177160206422585,6.049681587306369e-08,0.0,0.0,0.0,0.0,-3.8858044055365425e-16,0.0,0.0,1.7859863109402166e-05,1.7859863109402166e-05,1.0,1.0
IQ399147,0.00036231884057971015,0.0014492753623188406,0.01948762270648435,3.1898277099022044e-05,0.0,0.0,0.0,0.0,-1.550308674380065e-13,0.00036231884057971015,5.252900914530049e-07,1.1031091920513103e-05,1.1031091920513103e-05,1.0,1.5
IQ93624,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,6.773499568565991e-17,0.0,0.0,0.0,0.0,0.0,2.0
IQ32696821,0.00036231884057971015,0.0,0.01948762270648435,3.3672527714947245e-07,0.0,0.0,0.0,0.0,-2.408863403546115e-16,0.00036231884057971015,0.0,0.0,0.0,0.0,1.0
IQ12190335,0.0,0.002173913043478261,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,5.2621948361086285e-17,0.0,0.0,4.701346318504394e-05,4.701346318504394e-05,0.0,1.0
IQ7658699,0.0007246376811594203,0.0,0.021259224770710197,8.495628349870207e-06,0.0,0.0,0.0,0.0,2.410135217284695e-14,0.0007246376811594203,0.0,3.545708117307783e-06,0.0,0.0,1.0
IQ923357,0.0,0.0007246376811594203,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,3.9508923688241067e-16,0.0,0.0,3.9396756858975367e-07,3.9396756858975367e-07,1.0,1.0
IQ11212016,0.00036231884057971015,0.0010869565217391304,0.01948762270648435,2.663795796522739e-06,0.0,0.0,0.0,0.0,-5.609763802778659e-15,0.00036231884057971015,2.6264504572650245e-07,1.8385153200855172e-06,1.8385153200855172e-06,1.5,5.833333333333332
IQ104714369,0.00036231884057971015,0.0,0.019664782912906936,0.00012259510345591904,0.0,0.0,0.0,0.0,1.1807190890715721e-07,0.0004830917874396135,0.0,0.0,0.0,1.0,5.333333333333333
IQ23307,0.0,0.0014492753623188406,0.0177160206422585,6.049681587306364e-08,0.0,0.0,0.0,0.0,-4.233814557978011e-16,0.0,0.0,0.0005575954320773647,0.0002043378455752189,1.0,1.0
IQ33382174,0.00036231884057971015,0.0,0.01948762270648435,4.358190615495507e-06,0.0,0.0,0.0,0.0,-2.299896383264952e-14,0.00036231884057971015,0.0,0.0,0.0,0.0,6.5
IQ97461,0.0,0.002173913043478261,0.0177160206422585,6.049681587306365e-08,0.0,0.0,0.0,0.0,1.5880670164559474e-17,0.0,0.0,3.939675685897537e-06,3.939675685897537e-06,1.5,1.5
IQ26225651,0.00036231884057971015,0.0,0.01948762270648435,4.221044333911272e-06,0.0,0.0,0.0,0.0,1.2771517420235747e-15,0.00036231884057971015,0.0,0.0,0.0,0.0,4.5
IQ106667,0.0,0.0010869565217391304,0.0177160206422585,6.049681587306369e-08,0.0,0.0,0.0,0.0,-4.035498069738742e-16,0.0,0.0,7.879351371795073e-07,7.879351371795073e-07,0.0,3.15
IQ278157113,0.00036231884057971015,0.0,0.01948762270648435,5.946474019426923e-06,0.0,0.0,0.0,0.0,-2.933126025501555e-14,0.00036231884057971015,0.0,0.0,0.0,1.0,2.0
IQ330325,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,-3.9156101855423195e-16,0.0,0.0,0.0,0.0,1.0,5.833333333333333
IQ36044756,0.00036231884057971015,0.0,0.01948762270648435,4.274100041431949e-07,0.0,0.0,0.0,0.0,-2.030433388218132e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,2.0
IQ41570917,0.0,0.0007246376811594203,0.0177160206422585,6.049681587306367e-08,0.0,0.0,0.0,0.0,2.3081713270826997e-16,0.0,0.0,0.0,0.0,1.0,56.433644133644265
IQ135020,0.0014492753623188406,0.00036231884057971015,0.023030826834936048,7.803363285834738e-06,0.0,0.0,0.0,0.0,2.2664359154743816e-14,0.0010869565217391304,3.9396756858975367e-07,0.00020092345998077438,0.00020092345998077438,1.0,2.0
IQ282848,0.0,0.0007246376811594203,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,4.398609666913085e-17,0.0,0.0,2.6264504572650245e-07,2.6264504572650245e-07,0.0,1.0
IQ33454321,0.00036231884057971015,0.0,0.01948762270648435,8.735740212070396e-07,0.0,0.0,0.0,0.0,1.0811006139683674e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,1.0
IQ630080,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,4.836944634258246e-16,0.0,0.0,0.0,0.0,4.0,44.53953823953836
IQ1332502,0.00036231884057971015,0.0,0.01948762270648435,2.828831110224458e-07,0.0,0.0,0.0,0.0,1.0212176160038039e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,1.0
IQ4493068,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,4.067134548220372e-16,0.0,0.0,0.0,0.0,1.0,1.5
IQ27491,0.00036231884057971015,0.0,0.01948762270648435,3.417344135037621e-06,0.0,0.0,0.0,0.0,1.751778810160283e-14,0.00036231884057971015,0.0,0.0,0.0,1.0,1.0
IQ881992,0.0,0.00036231884057971015,0.0177160206422585,6.049681587306368e-08,0.0,0.0,0.0,0.0,2.8901485439273093e-16,0.0,0.0,0.0,0.0,1.0,1.5
IQ6688547,0.00036231884057971015,0.0,0.01948762270648435,3.0157662712722247e-07,0.0,0.0,0.0,0.0,1.0094534674290532e-15,0.00036231884057971015,0.0,0.0,0.0,1.0,1.5
IQ34177,0.0007246376811594203,0.0010869565217391304,0.021259224770710197,1.074048369647198e-05,0.0,0.0,0.0,0.0,-4.5546050556212335e-14,0.0007246376811594203,7.879351371795073e-07,1.733457301794916e-05,1.733457301794916e-05,1.0,1.5
