node,indegree,outdegree,katz,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,closeness,directed_betweenness,undirected_betweenness,undirected_Weighted_betweenness,harmonic,undirected_harmonic
IQ874149,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,-3.766781325415597e-17,0.0,0.0,0.0,0.0,1.0,4.0
IQ744274,0.00013245033112582781,0.0,0.011705721159522111,5.174426789934857e-09,0.0,0.0,0.0,0.0,-1.2312561214569164e-14,0.00013245033112582781,0.0,0.0,0.0,1.5,1.5
IQ35644,0.0,0.0009271523178807947,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,6.079422734010281e-17,0.0,0.0,2.8774479142450336e-06,2.8774479142450336e-06,0.0,1.0
IQ50094825,0.00013245033112582781,0.0,0.011705721159522111,2.0641701599189546e-08,0.0,0.0,0.0,0.0,8.823967309593859e-14,0.00013245033112582781,0.0,0.0,0.0,3.0,245.4365400938911
IQ308047,0.0,0.002119205298013245,0.010641564690474645,6.087560929335123e-10,0.0,0.0,0.0,0.0,1.2026995803503831e-16,0.0,0.0,2.7967390093332828e-05,2.7967390093332828e-05,0.0,1.0
IQ307779685,0.00013245033112582781,0.0,0.011705721159522111,2.127920315483137e-06,0.0,0.0,0.0,0.0,1.879704573475145e-11,0.00013245033112582781,0.0,0.0,0.0,3.0,354.60768398268374
IQ9794618,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,1.0520410134196983e-16,0.0,0.0,0.0,0.0,2.0,142.2935578796178
IQ98966343,0.00013245033112582781,0.0,0.011705721159522111,9.402846611451037e-09,0.0,0.0,0.0,0.0,6.753925199939292e-14,0.00013245033112582781,0.0,0.0,0.0,1.0,12.869047619047612
IQ875980,0.00013245033112582781,0.00039735099337748344,0.011705721159522111,3.0440057044219477e-07,0.0,0.0,0.0,0.0,-7.052235173617861e-13,0.00013245033112582781,5.263624233375062e-08,2.105449693350025e-07,2.105449693350025e-07,1.0,1.0
IQ311683801,0.00013245033112582781,0.0,0.011812136806426857,1.2404932001612371e-05,0.0,0.0,0.0,0.0,-1.3274882053679871e-09,0.00017660044150110375,0.0,0.0,0.0,1.0,3.0
IQ47267521,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,-3.0449836046356105e-17,0.0,0.0,0.0,0.0,2.0,164.95644176514955
IQ256173480,0.00013245033112582781,0.0,0.011705721159522111,2.4624183959160585e-09,0.0,0.0,0.0,0.0,-4.386562403164702e-15,0.00013245033112582781,0.0,0.0,0.0,1.0,197.0290778236213
IQ141318872,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335128e-10,0.0,0.0,0.0,0.0,-9.18390329233259e-17,0.0,0.0,0.0,0.0,1.0,1.0
IQ1340741,0.00039735099337748344,0.0005298013245033113,0.01383403409761704,4.6704984962044975e-08,0.0,0.0,0.0,0.0,-2.679394511111081e-13,0.00039735099337748344,2.105449693350025e-07,0.0004442516526920496,0.00030143021443127855,0.0,1.0
IQ26273,0.0,0.0010596026490066225,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,-1.710365582140122e-17,0.0,0.0,1.2281789877875143e-06,1.2281789877875143e-06,1.0,1.5
IQ330325,0.00013245033112582781,0.00013245033112582781,0.011705721159522111,3.4506912998671114e-07,0.0,0.0,0.0,0.0,-4.384928356151989e-13,0.00013245033112582781,1.7545414111250206e-08,2.807266257800033e-07,2.807266257800033e-07,1.0,1.0
IQ9643983,0.0,0.00039735099337748344,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,1.48155133531276e-16,0.0,0.0,1.0527248466750124e-07,1.0527248466750124e-07,1.0,1.5
IQ307480775,0.00013245033112582781,0.0,0.011705721159522111,4.941394957559909e-08,0.0,0.0,0.0,0.0,5.409475481665924e-13,0.00013245033112582781,0.0,0.0,0.0,1.0,134.83107893699182
IQ3136377,0.00013245033112582781,0.0,0.011705721159522111,2.155544449468275e-08,0.0,0.0,0.0,0.0,9.227525678119915e-14,0.00013245033112582781,0.0,0.0,0.0,1.0,2.0
IQ27504,0.0,0.0009271523178807947,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,-2.845762159902485e-17,0.0,0.0,0.00042172157357800997,0.00042172157357800997,2.0,8.5
IQ128584,0.00026490066225165563,0.0,0.012769877628569574,3.2266812327894366e-07,0.0,0.0,0.0,0.0,-4.755016003201565e-13,0.00026490066225165563,0.0,0.00048088470996114564,0.00048088470996114564,0.0,1.0
IQ52034861,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335127e-10,0.0,0.0,0.0,0.0,1.2494498288144292e-16,0.0,0.0,0.0,0.0,1.0,2.6666666666666665
IQ1792003,0.00013245033112582781,0.0,0.011705721159522111,1.0518513902970286e-07,0.0,0.0,0.0,0.0,9.637367145190158e-13,0.00013245033112582781,0.0,0.0,0.0,1.0,2.0
IQ12743128,0.0,0.00013245033112582781,0.010641564690474645,6.087560929335126e-10,0.0,0.0,0.0,0.0,1.1061242529538191e-16,0.0,0.0,0.0,0.0,1.0,6.733333333333334
