12/15/2010,558.54,IQTR117152168,IQ117152087,Private Company,IQ22988815
12/21/2010,150.73,IQTR117477968,IQ33446548,Private Company,IQ4221070
10/19/2010,51.83,IQTR114766488,IQ53510088,Private Company,IQ693160
10/6/2010,45.69,IQTR114271875,IQ98966947,Private Company,IQ20384543
11/24/2010,176.84,IQTR116202352,IQ12506578,Private Company,IQ9608883
12/17/2010,210,IQTR117279240,IQ11797289,Private Company,IQ1522420
10/15/2010,108.34,IQTR114601113,IQ11382376,Private Company,IQ433057
12/3/2010,37.3,IQTR116642981,IQ349515,Private Company,IQ141232
12/13/2010,1648.18,IQTR116980680,IQ27620,Private Company,IQ97023
10/22/2010,2356.02,IQTR114825602,IQ8626035,Private Company,IQ398549
11/23/2010,77,IQTR116221678,IQ46510892,Private Company,IQ618501
10/29/2010,83.76,IQTR115097104,IQ115096936,Assets/Products,IQ6517440
12/30/2010,47.64,IQTR117649676,IQ117649660,Assets/Products,IQ162270
12/31/2010,988.12,IQTR117736447,IQ117736402,Assets/Products,IQ93625
12/22/2010,107.72,IQTR117480233,IQ117480136,Assets/Products,IQ277914
10/20/2010,309.03,IQTR114723325,IQ30537140,Private Company,IQ162270
12/14/2010,231.24,IQTR117095419,IQ9616270,Private Company,IQ879440
12/14/2010,139.77,IQTR117096020,IQ117096014,Private Company,IQ879440
12/20/2010,68.72,IQTR129364463,IQ118214588,Private Company,IQ11314442
11/10/2010,35.96,IQTR115656371,IQ115656339,Assets/Products,IQ34669017
12/13/2010,869.68,IQTR116975398,IQ4494927,Private Company,IQ48757418
11/10/2010,222.21,IQTR116959211,IQ423219,Private Company,IQ45980660
11/12/2010,189.45,IQTR115714697,IQ59672751,Private Company,IQ268799
12/13/2010,81.06,IQTR116979239,IQ5418699,Private Company,IQ40130470
11/29/2010,37.73,IQTR116383502,IQ2420861,Private Company,IQ739769
10/28/2010,383.36,IQTR115056175,IQ9206772,Private Company,IQ687130
10/6/2010,1677.07,IQTR114163270,IQ30236,Private Company,IQ5644918
12/28/2010,198.7,IQTR117580516,IQ852953,Private Company,IQ20117
12/14/2010,59.66,IQTR117028467,IQ361663,Private Company,IQ10492717
12/13/2010,216.18,IQTR117026547,IQ1004602,Private Company,IQ91868
12/21/2010,75.74,IQTR117431794,IQ117431777,Assets/Products,IQ12344550
12/1/2010,443.67,IQTR116470608,IQ8175880,Private Company,IQ116539707
10/4/2010,27.41,IQTR127137594,IQ35426,Private Company,IQ230297
12/20/2010,209.51,IQTR117283757,IQ26506411,Private Company,IQ904817
12/6/2010,45.2,IQTR116702857,IQ116702703,Assets/Products,IQ681217
11/18/2010,194.76,IQTR115907186,IQ11438571,Private Company,IQ1052147
10/12/2010,2832.84,IQTR114403911,IQ385872,Private Company,IQ162270
